AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
19,4335471,2220278,2115193,1619576,1530284,322473,313981,34556,32735,131327,129271,6605,6323,105741,102599,1716253,1623959,377041,367348,57513,55071,170996,167265,14435,13879,1664374,1586963,1137969,1073242,293674,286482,17946,17004,125513,123791,4689,4476,84583,81968,1215621,1148304,337858,329790,33014,31648,158980,155867,10529,10088,555904,528230,481607,457042,28799,27499,16610,15731,5814,5480,1916,1847,21158,20631,500632,475655,39183,37558,24499,23423,12016,11398,3906,3791
20,4342640,2223921,2118719,1629070,1537689,320046,312795,33766,32460,132405,130568,6500,6156,102134,99051,1722403,1628154,372174,363694,56551,54544,170634,167525,14150,13516,1676935,1597477,1154610,1085698,291709,286109,17555,16986,126804,125205,4624,4386,81633,79093,1229473,1158204,334023,327352,32525,31576,159053,156265,10336,9891,546986,521242,474460,451991,28337,26686,16211,15474,5601,5363,1876,1770,20501,19958,492930,469950,38151,36342,24026,22968,11581,11260,3814,3625
21,4395728,2244653,2151075,1643086,1560519,327085,322380,34429,32818,134445,132368,6508,6283,99100,96707,1733416,1648535,377378,372045,57188,55150,171310,167910,14067,13507,1695624,1625342,1166217,1103305,298619,295708,17990,17432,128835,127187,4689,4470,79274,77240,1238703,1173901,339495,335966,32977,32178,159924,157115,10380,9899,549029,525733,476869,457214,28466,26672,16439,15386,5610,5181,1819,1813,19826,19467,494713,474634,37883,36079,24211,22972,11386,10795,3687,3608
22,4638779,2358079,2280700,1722894,1654127,348403,344981,35652,34163,143048,141323,6549,6466,101533,99640,1815358,1744920,400063,396123,59505,57720,180372,177455,14119,13889,1789269,1731475,1228176,1175503,318954,317232,18929,18445,137469,135936,4691,4552,81050,79807,1302175,1248462,360832,358909,34735,34181,168969,166482,10397,10172,568810,549225,494718,478624,29449,27749,16723,15718,5579,5387,1858,1914,20483,19833,513183,496458,39231,37214,24770,23539,11403,10973,3722,3717
23,4800378,2448774,2351604,1781102,1696052,367653,361872,37037,35532,153950,152185,6815,6651,102217,99312,1874203,1786206,419243,412687,61688,59343,191450,188217,14404,14104,1865295,1792990,1272548,1209291,337993,333520,19892,19112,148177,146717,4955,4712,81730,79638,1347111,1281804,379850,374870,36327,35233,179950,177143,10709,10311,583479,558614,508554,486761,29660,28352,17145,16420,5773,5468,1860,1939,20487,19674,527092,504402,39393,37817,25361,24110,11500,11074,3695,3793
24,4562406,2333993,2228413,1702883,1612042,347964,340414,35158,33678,146037,143953,6585,6173,95366,92153,1789555,1695459,396209,387633,58779,56419,180239,176924,13969,13262,1786374,1706596,1225450,1157107,320132,313928,19112,18473,140659,138849,4761,4437,76260,73802,1294944,1224045,359327,352408,35046,33929,169576,166603,10333,9811,547619,521817,477433,454935,27832,26486,16046,15205,5378,5104,1824,1736,19106,18351,494611,471414,36882,35225,23733,22490,10663,10321,3636,3451
25,4491170,2299218,2191952,1676088,1582170,343501,335979,34262,32934,146501,145849,6470,6012,92396,89008,1759726,1662830,389555,380997,57459,55565,179877,177547,13832,12832,1767460,1686615,1212604,1141592,316428,310464,18605,17985,141146,140792,4696,4325,73981,71457,1279730,1206515,353840,347144,34344,33547,169388,167533,10329,9559,531758,505337,463484,440578,27073,25515,15657,14949,5355,5057,1774,1687,18415,17551,479996,456315,35715,33853,23115,22018,10489,10014,3503,3273
26,4384353,2245077,2139276,1632840,1540054,334420,326723,33118,31779,151068,150207,6362,5876,87269,84637,1711789,1616423,377267,368816,55695,53916,182893,180670,13212,12459,1731822,1653251,1185038,1115915,308805,302459,17893,17553,145870,145322,4636,4280,69580,67722,1248129,1177093,343338,336565,33278,32815,172756,171104,9866,9309,513255,486025,447802,424139,25615,24264,15225,14226,5198,4885,1726,1596,17689,16915,463660,439330,33929,32251,22417,21101,10137,9566,3346,3150
27,4386920,2243280,2143640,1633697,1541947,330237,325200,32893,31284,154805,156692,6455,5989,85193,82528,1710676,1616140,371246,365686,55632,53419,185994,186575,13335,12775,1735691,1664012,1190569,1123190,305083,301663,17865,17180,149776,151806,4682,4355,67716,65818,1251900,1182456,337940,334354,33193,32333,176273,177064,9952,9590,507589,479628,443128,418757,25154,23537,15028,14104,5029,4886,1773,1634,17477,16710,458776,433684,33306,31332,22439,21086,9721,9511,3383,3185
28,4430453,2264450,2166003,1643658,1554035,339747,332702,32851,31269,158572,161514,6568,6400,83054,80083,1718259,1625770,379156,371745,55961,53465,189043,190396,13441,13191,1757623,1684549,1200848,1133561,314401,308692,18061,17229,153553,156546,4798,4670,65962,63851,1260106,1190886,345952,340036,33924,32569,179404,180963,10121,9943,506827,481454,442810,420474,25346,24010,14790,14040,5019,4968,1770,1730,17092,16232,458153,434884,33204,31709,22037,20896,9639,9433,3320,3248
29,4486636,2288861,2197775,1653704,1568549,353195,347564,32982,32008,161857,164265,6599,6598,80524,78791,1725631,1638746,390662,385358,56225,54701,191441,192742,13690,13294,1783259,1717800,1211599,1149559,327614,323349,18405,17724,156888,159457,4858,4875,63895,62836,1268668,1205539,357462,353701,34478,33602,182042,183589,10334,10073,505602,479975,442105,418990,25581,24215,14577,14284,4969,4808,1741,1723,16629,15955,456963,433207,33200,31657,21747,21099,9399,9153,3356,3221
30,4568014,2330509,2237505,1679457,1591072,366867,360465,34058,32975,166420,169865,6837,6600,76870,76528,1747708,1658943,401953,396580,56630,55726,195234,197548,13730,13333,1820149,1755382,1232592,1169837,340828,336092,19088,18706,161596,164999,4969,4886,61076,60862,1286850,1223856,368720,364832,34791,34701,186074,188475,10323,10100,510360,482123,446865,421235,26039,24373,14970,14269,4824,4866,1868,1714,15794,15666,460858,435087,33233,31748,21839,21025,9160,9073,3407,3233
